 	\u0020	alt-032	SPACE
﹃	\uFE43	alt-065091	PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
﹄	\uFE44	alt-065092	PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
Sidelining emphasis marks

﹅	\uFE45	alt-065093	SESAME DOT
﹆	\uFE46	alt-065094	WHITE SESAME DOT
Overscores and underscores

﹉	\uFE49	alt-065097	DASHED OVERLINE
﹊	\uFE4A	alt-065098	CENTRELINE OVERLINE
﹋	\uFE4B	alt-065099	WAVY OVERLINE
﹌	\uFE4C	alt-065100	DOUBLE WAVY OVERLINE
﹍	\uFE4D	alt-065101	DASHED LOW LINE
﹎	\uFE4E	alt-065102	CENTRELINE LOW LINE
﹏	\uFE4F	alt-065103	WAVY LOW LINE
Small form variants

﹐	\uFE50	alt-065104	SMALL COMMA
﹑	\uFE51	alt-065105	SMALL IDEOGRAPHIC COMMA
﹒	\uFE52	alt-065106	SMALL FULL STOP
﹔	\uFE54	alt-065108	SMALL SEMICOLON
﹕	\uFE55	alt-065109	SMALL COLON
﹖	\uFE56	alt-065110	SMALL QUESTION MARK
﹗	\uFE57	alt-065111	SMALL EXCLAMATION MARK
﹘	\uFE58	alt-065112	SMALL EM DASH
﹙	\uFE59	alt-065113	SMALL LEFT PARENTHESIS
﹚	\uFE5A	alt-065114	SMALL RIGHT PARENTHESIS
﹛	\uFE5B	alt-065115	SMALL LEFT CURLY BRACKET
﹜	\uFE5C	alt-065116	SMALL RIGHT CURLY BRACKET
﹝	\uFE5D	alt-065117	SMALL LEFT TORTOISE SHELL BRACKET
﹞	\uFE5E	alt-065118	SMALL RIGHT TORTOISE SHELL BRACKET
﹟	\uFE5F	alt-065119	SMALL NUMBER SIGN
﹠	\uFE60	alt-065120	SMALL AMPERSAND
﹡	\uFE61	alt-065121	SMALL ASTERISK
﹢	\uFE62	alt-065122	SMALL PLUS SIGN
﹣	\uFE63	alt-065123	SMALL HYPHEN-MINUS
﹤	\uFE64	alt-065124	SMALL LESS-THAN SIGN
﹥	\uFE65	alt-065125	SMALL GREATER-THAN SIGN
﹦	\uFE66	alt-065126	SMALL EQUALS SIGN
﹨	\uFE68	alt-065128	SMALL REVERSE SOLIDUS
﹩	\uFE69	alt-065129	SMALL DOLLAR SIGN
﹪	\uFE6A	alt-065130	SMALL PERCENT SIGN
﹫	\uFE6B	alt-065131	SMALL COMMERCIAL AT
Special

﻿	\uFEFF	alt-065279	ZERO WIDTH NO-BREAK SPACE = BYTE ORDER MARK BOM, ZWNBSP
Fullwidth ASCII variants See ASCII 0020 - 007E

！	\uFF01	alt-065281	FULLWIDTH EXCLAMATION MARK
＂	\uFF02	alt-065282	FULLWIDTH QUOTATION MARK
＃	\uFF03	alt-065283	FULLWIDTH NUMBER SIGN
＄	\uFF04	alt-065284	FULLWIDTH DOLLAR SIGN
％	\uFF05	alt-065285	FULLWIDTH PERCENT SIGN
＆	\uFF06	alt-065286	FULLWIDTH AMPERSAND
＇	\uFF07	alt-065287	FULLWIDTH APOSTROPHE
（	\uFF08	alt-065288	FULLWIDTH LEFT PARENTHESIS
）	\uFF09	alt-065289	FULLWIDTH RIGHT PARENTHESIS
＊	\uFF0A	alt-065290	FULLWIDTH ASTERISK
＋	\uFF0B	alt-065291	FULLWIDTH PLUS SIGN
，	\uFF0C	alt-065292	FULLWIDTH COMMA
－	\uFF0D	alt-065293	FULLWIDTH HYPHEN-MINUS
．	\uFF0E	alt-065294	FULLWIDTH FULL STOP
／	\uFF0F	alt-065295	FULLWIDTH SOLIDUS
０	\uFF10	alt-065296	FULLWIDTH DIGIT ZERO
１	\uFF11	alt-065297	FULLWIDTH DIGIT ONE
２	\uFF12	alt-065298	FULLWIDTH DIGIT TWO
３	\uFF13	alt-065299	FULLWIDTH DIGIT THREE
４	\uFF14	alt-065300	FULLWIDTH DIGIT FOUR
５	\uFF15	alt-065301	FULLWIDTH DIGIT FIVE
６	\uFF16	alt-065302	FULLWIDTH DIGIT SIX
７	\uFF17	alt-065303	FULLWIDTH DIGIT SEVEN
８	\uFF18	alt-065304	FULLWIDTH DIGIT EIGHT
９	\uFF19	alt-065305	FULLWIDTH DIGIT NINE
：	\uFF1A	alt-065306	FULLWIDTH COLON
；	\uFF1B	alt-065307	FULLWIDTH SEMICOLON
＜	\uFF1C	alt-065308	FULLWIDTH LESS-THAN SIGN
＝	\uFF1D	alt-065309	FULLWIDTH EQUALS SIGN
＞	\uFF1E	alt-065310	FULLWIDTH GREATER-THAN SIGN
？	\uFF1F	alt-065311	FULLWIDTH QUESTION MARK
＠	\uFF20	alt-065312	FULLWIDTH COMMERCIAL AT
Ａ	\uFF21	alt-065313	FULLWIDTH LATIN CAPITAL LETTER A
Ｂ	\uFF22	alt-065314	FULLWIDTH LATIN CAPITAL LETTER B
Ｃ	\uFF23	alt-065315	FULLWIDTH LATIN CAPITAL LETTER C
Ｄ	\uFF24	alt-065316	FULLWIDTH LATIN CAPITAL LETTER D
Ｅ	\uFF25	alt-065317	FULLWIDTH LATIN CAPITAL LETTER E
Ｆ	\uFF26	alt-065318	FULLWIDTH LATIN CAPITAL LETTER F
Ｇ	\uFF27	alt-065319	FULLWIDTH LATIN CAPITAL LETTER G
Ｈ	\uFF28	alt-065320	FULLWIDTH LATIN CAPITAL LETTER H
Ｉ	\uFF29	alt-065321	FULLWIDTH LATIN CAPITAL LETTER I
Ｊ	\uFF2A	alt-065322	FULLWIDTH LATIN CAPITAL LETTER J
Ｋ	\uFF2B	alt-065323	FULLWIDTH LATIN CAPITAL LETTER K
Ｌ	\uFF2C	alt-065324	FULLWIDTH LATIN CAPITAL LETTER L
Ｍ	\uFF2D	alt-065325	FULLWIDTH LATIN CAPITAL LETTER M
Ｎ	\uFF2E	alt-065326	FULLWIDTH LATIN CAPITAL LETTER N
Ｏ	\uFF2F	alt-065327	FULLWIDTH LATIN CAPITAL LETTER O
Ｐ	\uFF30	alt-065328	FULLWIDTH LATIN CAPITAL LETTER P
Ｑ	\uFF31	alt-065329	FULLWIDTH LATIN CAPITAL LETTER Q
Ｒ	\uFF32	alt-065330	FULLWIDTH LATIN CAPITAL LETTER R
Ｓ	\uFF33	alt-065331	FULLWIDTH LATIN CAPITAL LETTER S
Ｔ	\uFF34	alt-065332	FULLWIDTH LATIN CAPITAL LETTER T
Ｕ	\uFF35	alt-065333	FULLWIDTH LATIN CAPITAL LETTER U
Ｖ	\uFF36	alt-065334	FULLWIDTH LATIN CAPITAL LETTER V
Ｗ	\uFF37	alt-065335	FULLWIDTH LATIN CAPITAL LETTER W
Ｘ	\uFF38	alt-065336	FULLWIDTH LATIN CAPITAL LETTER X
Ｙ	\uFF39	alt-065337	FULLWIDTH LATIN CAPITAL LETTER Y
Ｚ	\uFF3A	alt-065338	FULLWIDTH LATIN CAPITAL LETTER Z
［	\uFF3B	alt-065339	FULLWIDTH LEFT SQUARE BRACKET
＼	\uFF3C	alt-065340	FULLWIDTH REVERSE SOLIDUS
］	\uFF3D	alt-065341	FULLWIDTH RIGHT SQUARE BRACKET
＾	\uFF3E	alt-065342	FULLWIDTH CIRCUMFLEX ACCENT
＿	\uFF3F	alt-065343	FULLWIDTH LOW LINE
｀	\uFF40	alt-065344	FULLWIDTH GRAVE ACCENT
ａ	\uFF41	alt-065345	FULLWIDTH LATIN SMALL LETTER A
ｂ	\uFF42	alt-065346	FULLWIDTH LATIN SMALL LETTER B
ｃ	\uFF43	alt-065347	FULLWIDTH LATIN SMALL LETTER C
ｄ	\uFF44	alt-065348	FULLWIDTH LATIN SMALL LETTER D
ｅ	\uFF45	alt-065349	FULLWIDTH LATIN SMALL LETTER E
ｆ	\uFF46	alt-065350	FULLWIDTH LATIN SMALL LETTER F
ｇ	\uFF47	alt-065351	FULLWIDTH LATIN SMALL LETTER G
ｈ	\uFF48	alt-065352	FULLWIDTH LATIN SMALL LETTER H
ｉ	\uFF49	alt-065353	FULLWIDTH LATIN SMALL LETTER I
ｊ	\uFF4A	alt-065354	FULLWIDTH LATIN SMALL LETTER J
ｋ	\uFF4B	alt-065355	FULLWIDTH LATIN SMALL LETTER K
ｌ	\uFF4C	alt-065356	FULLWIDTH LATIN SMALL LETTER L
ｍ	\uFF4D	alt-065357	FULLWIDTH LATIN SMALL LETTER M
ｎ	\uFF4E	alt-065358	FULLWIDTH LATIN SMALL LETTER N
ｏ	\uFF4F	alt-065359	FULLWIDTH LATIN SMALL LETTER O
ｐ	\uFF50	alt-065360	FULLWIDTH LATIN SMALL LETTER P
ｑ	\uFF51	alt-065361	FULLWIDTH LATIN SMALL LETTER Q
ｒ	\uFF52	alt-065362	FULLWIDTH LATIN SMALL LETTER R
ｓ	\uFF53	alt-065363	FULLWIDTH LATIN SMALL LETTER S
ｔ	\uFF54	alt-065364	FULLWIDTH LATIN SMALL LETTER T
ｕ	\uFF55	alt-065365	FULLWIDTH LATIN SMALL LETTER U
ｖ	\uFF56	alt-065366	FULLWIDTH LATIN SMALL LETTER V
ｗ	\uFF57	alt-065367	FULLWIDTH LATIN SMALL LETTER W
ｘ	\uFF58	alt-065368	FULLWIDTH LATIN SMALL LETTER X
ｙ	\uFF59	alt-065369	FULLWIDTH LATIN SMALL LETTER Y
ｚ	\uFF5A	alt-065370	FULLWIDTH LATIN SMALL LETTER Z
｛	\uFF5B	alt-065371	FULLWIDTH LEFT CURLY BRACKET
｜	\uFF5C	alt-065372	FULLWIDTH VERTICAL LINE
｝	\uFF5D	alt-065373	FULLWIDTH RIGHT CURLY BRACKET
～	\uFF5E	alt-065374	FULLWIDTH TILDE
Fullwidth brackets

｟	\uFF5F	alt-065375	FULLWIDTH LEFT WHITE PARENTHESIS
｠	\uFF60	alt-065376	FULLWIDTH RIGHT WHITE PARENTHESIS
Fullwidth symbol variants See Latin-1 00A0 - 00FF

￠	\uFFE0	alt-065504	FULLWIDTH CENT SIGN
￡	\uFFE1	alt-065505	FULLWIDTH POUND SIGN
￢	\uFFE2	alt-065506	FULLWIDTH NOT SIGN
￣	\uFFE3	alt-065507	FULLWIDTH MACRON
￤	\uFFE4	alt-065508	FULLWIDTH BROKEN BAR
￥	\uFFE5	alt-065509	FULLWIDTH YEN SIGN
￦	\uFFE6	alt-065510	FULLWIDTH WON SIGN
Replacement characters

￼	\uFFFC	alt-065532	OBJECT REPLACEMENT CHARACTER
�	\uFFFD	alt-065533	REPLACEMENT CHARACTER
Unicode character list created by Rodrigo Siqueira
there are 2034 Unicode characters in this list
See also: ASCII Table
